DP04_0001E,DP03_0120PE,DP05_0001E,DP03_0119PE,zip code tabulation area
108,22.2,119,25,29826
478,0,880,0,29469
3047,41.5,6758,21.4,29479
32246,15.9,81942,9.3,29483
1340,29.2,2999,18.6,29487
8538,33.7,20823,21.2,29506
2301,21,4986,16.2,29511
407,35.7,1038,19.9,29516
157,71.4,228,46.1,29519
18353,20.3,46369,12,29526
13887,4.2,23373,2.4,30339
5745,31.4,13598,19.5,30401
753,22.7,1372,13.9,30452
273,19.4,465,5.4,30455
3049,19.7,5885,10.1,30457
5831,36.1,12070,19,30467
9289,27.3,26966,16.1,30504
2865,23,9042,15.8,30510
7757,38.3,16398,29,30354
1815,16.2,3322,9.1,30421
2347,36.4,5386,21.3,30434
5519,32,12092,20.7,30436
874,9,1701,9.5,30441
27,0,76,0,30448
1037,43.7,1936,26.2,30456
6148,23,14366,13.6,30461
2195,20.8,5085,17.6,30471
13092,22,21080,8.5,30512
973,27.7,897,6.8,30522
1869,23,1805,17.3,30552
2529,15.1,6330,11.4,30530
3349,13.7,7431,17.1,30535
6985,5.2,18630,4.5,30548
7597,3.1,24416,1.6,30017
3687,12.6,9308,6.9,30025
15815,19.9,39104,14.3,30038
22623,8.7,65959,7.1,30052
1247,3.5,3306,2.5,30055
8006,28.7,25218,19.2,30071
14538,5.6,49262,4.4,30019
13994,3.7,40056,2.8,30005
11865,22.1,31982,15.6,30008
25504,4,68807,3.5,30022
24548,4.2,77334,3.7,30024
23792,2.9,66531,3.2,30041
21253,2.9,55548,2.6,30066
12657,14.3,29011,8.6,30082
22573,32.1,58323,25.1,30083
12626,16.5,34928,9.7,30094
2874,23.3,6649,14.7,30113
10055,26.6,23814,15.8,30125
2877,7,7142,8.1,30145
299,11.3,861,4.6,30148
15919,6.4,43310,5.5,30152
5191,29.8,12940,18.9,30204
12779,5.4,36441,3.3,30215
4154,16.9,9144,11.7,30217
682,7,1628,6.5,30218
15859,34.1,36986,19.2,30223
9246,30.9,23245,16.2,30233
8919,8.6,25161,6.7,30248
20836,14.3,55176,9.6,30253
1077,20,2589,14.2,30256
3923,31.8,10434,21.1,30268
5574,7.7,14663,9,30273
14023,26.5,35347,18.9,30274
3644,14.4,9230,8.6,30288
9972,20.3,28671,14,30296
1570,76.3,6719,47.4,30303
11106,35.6,29629,21.9,30501
8137,14.8,11753,8,30513
14779,4.7,46415,2.8,30519
1027,21.9,698,10.5,30545
9366,5,24892,5.6,30549
3032,14.4,3545,4.5,30571
0,-666666666,2824,-666666666,30602
2228,41.2,4205,24.3,30828
18769,18.5,54242,13.6,30016
20791,5.6,58041,4.7,30101
2786,33.8,5038,14.7,30582
35,33.3,67,18.8,30665
1628,30.2,3779,18,30734
17877,5,37111,3.8,30328
10973,16.4,25562,10.1,30345
1198,33.2,4766,18.5,30411
990,12.8,2012,8.9,30516
4888,33.8,7305,13.7,30525
922,3.5,1580,18.5,30541
3123,25.8,6601,15.7,30683
1429,13.4,3209,12.3,30547
1334,15.5,2273,9.4,30555
443,47.9,940,28.6,30746
2021,7.9,4646,6.1,30725
8902,23.6,20609,13.8,30728
6555,18.8,15438,13.8,30747
3920,15.3,8463,10,30752
23010,40.9,58114,25,30906
3056,22.2,5920,12,30002
5076,15.3,15428,9.6,30011
14274,8.8,32968,6.4,30033
24935,6.4,70510,5.3,30040
29130,9.2,90675,6.8,30043
1480,38.9,2824,23.6,30079
1842,13.6,4960,7.3,30104
8804,13.5,21742,12.1,30106
9090,5.5,23373,4.8,30121
9929,20,25786,13.4,30122
1176,27.9,2498,14,30182
2788,5.2,6612,8.5,30184
3200,7.8,7918,7.5,30187
14474,3.7,38550,4.6,30189
18824,27.9,49694,16.6,30236
15337,6.4,46286,4.5,30252
1906,5.4,4345,12.6,30257
1130,11.9,3047,8.4,30258
288,0,639,0,30285
13012,35.7,22275,20,30312
6550,11.5,13737,8.1,30317
2938,19.5,4701,14,30559
1218,61.4,1645,23,30568
1271,86,796,20.9,30572
486,0.7,1533,0.3,30575
1512,16.4,2310,8.7,30576
10057,18.3,21204,12.5,30577
1214,5,2140,4.5,30625
1931,22.6,4735,16.2,30629
2958,25.5,6506,15.5,30646
473,12.8,954,10.8,30667
7148,4.5,18337,3.3,30677
17989,7.2,44468,5,30506
8985,16.4,30076,11.7,30507
1392,6.5,4009,7.6,30511
1400,8.3,3467,5.7,30171
3940,29.7,10748,17.7,30607
10525,41.5,23685,29.9,30601
17912,27.2,41451,16.5,30605
987,44.2,1647,21.2,30631
21000,4,53328,2.7,30075
9180,16.5,24161,10.8,30116
957,21.1,1805,14.6,30413
2741,11.8,6161,9,30415
51,26.3,121,17.9,30423
337,33.3,782,23.6,30426
33,0,31,0,30438
581,18.4,1251,13.4,30446
167,44.4,338,26,30470
1476,11.8,2445,8.2,30473
14325,18.8,32341,11.6,30341
12836,5.1,32613,3.6,30068
24774,8.3,63171,6,30188
1723,21.7,4352,12.3,30295
24420,4,66053,3.5,30062
2396,16,4663,8.1,28338
23014,4.4,60107,3.8,28078
10504,21.5,25540,12.1,28083
1228,24.7,2746,10.9,28088
355,4.3,826,4.1,28101
9944,17.6,26999,10.4,28112
1216,12,2383,5.8,28133
10204,25.4,24878,14.7,28147
1615,6.3,3586,15.2,28160
6294,7.5,15099,5.2,28164
1471,46.9,2323,29.6,28617
2421,28.4,5013,15.4,28636
769,48.3,1734,24.2,28637
3911,27.8,7419,21.6,28651
11284,13.7,27479,9.7,28658
117,-666666666,114,0,28662
773,0,314,0,28668
1798,10.6,4028,10.2,28676
3942,13.5,7139,9.1,28705
5284,32.5,11182,15.1,28723
664,47.4,759,13,28740
1424,67.2,1987,23.1,28743
172,-666666666,29,0,28749
374,0,116,0,28757
3990,19.1,7671,11.8,28761
5593,23.6,8095,15.3,28771
608,0,1061,4,28772
2357,8.4,3056,4.9,28773
3922,12.7,6562,7.9,28782
3680,17.4,5281,13.3,28789
1758,8,3308,4.2,28790
7224,3.7,14954,4.7,28791
10311,11.9,22189,6.9,28804
475,15,1076,13.1,28006
0,-666666666,721,-666666666,28017
5951,14.8,13991,10.4,28021
6287,14,15623,8.3,28023
6532,3.9,17824,2.8,28036
2756,0,2536,0,28480
11615,17.3,26318,9.1,28715
8789,18.7,17807,11.3,28716
1644,0,3271,4.8,28729
7883,5,17479,4.1,28732
148,-666666666,10,0,28733
12057,27.7,26601,15.6,28001
351,7.3,714,9.8,28007
2674,25.4,4699,14.6,28018
1034,4.5,2082,12.8,28020
21519,17.9,54829,10.4,28025
565,2.9,1292,7.1,28072
745,37.7,1790,26.8,28432
2698,28.4,5303,15.3,28394
988,14.2,2466,6.4,28395
15522,9.9,37995,6.4,28411
371,41.8,934,40.2,28452
835,2,1975,5,28436
1472,48.6,3818,32.2,28441
9922,8.4,22138,6,28443
3115,28,7024,15.6,28458
3847,23.7,9741,17,28463
2785,8.1,6274,8.3,28479
1185,5.9,1503,3.2,28510
7066,14.8,3236,4.4,28512
1317,28.2,2584,19.3,28515
630,31.4,1585,18.2,28421
4203,48.5,8404,16.5,28422
1062,35.9,2359,22.9,28423
965,17.4,2205,7.8,28430
7216,14.5,7278,8.5,28445
628,41.3,887,44,28448
1930,9.8,1932,2.2,28449
5923,9.7,5093,9.6,28468
570,0,461,0,28745
4159,21.9,3387,8,28751
13860,20.7,30591,12.7,28752
3696,27.2,7388,11.4,28768
9918,10.7,19818,4.8,28805
13154,19.3,19401,9.7,28906
10024,23.2,23790,16.5,28390
1436,23.3,4199,15.8,28344
5388,25.8,14931,18,28360
2494,24.1,5984,14.6,28391
12424,46.3,24279,26.4,28401
326,0,375,17.2,28708
11111,30,20017,12.2,28712
2843,10.2,1640,5.1,28717
1132,13.9,2660,4.6,28742
2080,13.7,2243,10.3,28747
707,9.1,1221,10,28009
5821,25.1,13046,14.9,28016
7035,16,17327,10.2,28034
8736,9.4,20110,5.4,28037
13904,14.8,34401,9.3,28056
1429,8.8,2649,13.2,28071
6367,4.8,18621,4,28075
13053,5.1,36737,4.6,28079
3319,28.3,7941,14,28080
39,100,217,50,28089
14558,12.7,37023,8.2,28115
8722,11.4,21119,7.8,28120
96,50,146,20.9,28169
8486,17.9,12745,8,28202
5258,31.8,11919,25.6,28206
4169,4.1,9539,3.1,28207
13769,3.5,35059,2.9,28270
8533,49.6,17600,33,28301
17091,21,35641,13.1,28311
1281,43.9,2562,20.4,28385
1511,30.8,3899,15.7,28323
221,32.7,444,13.2,28325
5016,35.2,14022,23.9,28372
7788,15.8,15526,10.2,28387
1012,24.6,1990,26.1,28399
4304,22.6,10303,12.2,28457
701,25.9,1643,21.8,28447
1054,5,2503,1.9,28454
954,22.5,1914,10,28455
7395,18.8,10490,12.1,28460
9297,6.1,7252,4.8,28465
7376,7.7,10551,4.2,28467
204,100,160,46.4,28707
1078,10.6,2302,5.1,28709
221,0,260,39,28519
501,25.3,1016,12.7,28527
366,0,590,4.8,28528
1063,35.5,1706,14.8,28529
9707,11,22968,7.5,28012
24846,5.9,63423,4.8,28027
1272,21.3,3296,10.7,28032
14843,32.9,35302,21.7,28052
193,0,376,0,28076
11171,23.6,27557,12.8,28081
3939,25,8473,17.7,28090
2581,8.9,5287,4.5,28129
12511,20.3,27496,11.9,28146
1161,33,2591,13.9,28167
13379,13.4,30789,9.1,28211
17269,20.9,40724,14.6,28213
